['CloudFlare DNS: 141.101.64.0/18', '45892', 'legalcity.biz', '141.101.116.248']
['CloudFlare DNS: 108.162.192.0/18', '46053', 'adult-legal.com', '108.162.196.152']
['CloudFlare DNS: 108.162.192.0/18', '46055', 'smokes-moscow.com', '108.162.197.178']
['CloudFlare DNS: 108.162.192.0/18', '46056', 'zamyti.com', '108.162.199.76']
['CloudFlare DNS: 108.162.192.0/18', '46733', 'poroshki.tv', '108.162.198.104']
['CloudFlare DNS: 108.162.192.0/18', '47371', 'angelotrip.biz', '108.162.198.126']
['CloudFlare DNS: 162.158.0.0/15', '47430', 'psyhoforum.biz', '162.159.244.195']
['CloudFlare DNS: 199.27.128.0/21', '47489', 'sadovo9.com', '199.27.134.104']
['CloudFlare DNS: 141.101.64.0/18', '47531', 'swimpool.biz', '141.101.117.94']
['CloudFlare DNS: 108.162.192.0/18', '47729', 'viptabak.com', '108.162.198.47']
['CloudFlare DNS: 162.158.0.0/15', '47809', 'psyhoforum.biz', '162.159.244.195']
['CloudFlare DNS: 108.162.192.0/18', '48229', 'rasta-legal.com', '108.162.197.142']
['CloudFlare DNS: 108.162.192.0/18', '48369', 'rasta-legal.com', '108.162.196.142']
['CloudFlare DNS: 108.162.192.0/18', '48929', 'zacepi.com', '108.162.196.94']
['CloudFlare DNS: 108.162.192.0/18', '49849', 'angelotrip.biz', '108.162.198.126']
['CloudFlare DNS: 108.162.192.0/18', '49910', 'zakladku.com', '108.162.198.214']
['CloudFlare DNS: 141.101.64.0/18', '50349', 'legalmix.org', '141.101.116.48']
['CloudFlare DNS: 141.101.64.0/18', '50439', 'aromavip.net', '141.101.117.146']
['CloudFlare DNS: 141.101.64.0/18', '50452', 'forum.ua-legal.com', '141.101.117.238']
['CloudFlare DNS: 108.162.192.0/18', '50453', 'zamyti.com', '108.162.199.76']
['CloudFlare DNS: 141.101.64.0/18', '50457', 'legal-empire.com', '141.101.117.252']
['CloudFlare DNS: 108.162.192.0/18', '50458', 'zacepi.com', '108.162.197.94']
['CloudFlare DNS: 141.101.64.0/18', '50473', 'ua-legal.com', '141.101.116.238']
['CloudFlare DNS: 108.162.192.0/18', '50476', 'krollikovod.com', '108.162.201.241']
['CloudFlare DNS: 108.162.192.0/18', '50715', '45chan.com', '108.162.199.186']
['CloudFlare DNS: 108.162.192.0/18', '50735', 'best-maza.net', '108.162.199.177']
['CloudFlare DNS: 108.162.192.0/18', '50736', 'net-228.com', '108.162.197.23']
['CloudFlare DNS: 141.101.64.0/18', '50766', 'karakum.biz', '141.101.116.230']
['CloudFlare DNS: 141.101.64.0/18', '50818', 'world-chemical.com', '141.101.113.144']
['CloudFlare DNS: 141.101.64.0/18', '50857', 'world-chemical.com', '141.101.123.144']
['CloudFlare DNS: 141.101.64.0/18', '50954', 'spiceomsk.com', '141.101.117.84']
['CloudFlare DNS: 108.162.192.0/18', '51085', 'sibvostlegal.biz', '108.162.197.134']
['CloudFlare DNS: 141.101.64.0/18', '51251', 'legal-kaif.com', '141.101.116.174']
['CloudFlare DNS: 108.162.192.0/18', '51412', 'chemsmoke.biz', '108.162.199.164']
['CloudFlare DNS: 141.101.64.0/18', '51582', 'autosativa.com', '141.101.117.135']
['CloudFlare DNS: 108.162.192.0/18', '51597', 'himik-vip.net', '108.162.199.233']
['CloudFlare DNS: 108.162.192.0/18', '51615', 'legal-land.com', '108.162.198.85']
['CloudFlare DNS: 141.101.64.0/18', '51691', 'kuri-smesi.ru', '141.101.117.220']
['CloudFlare DNS: 199.27.128.0/21', '51705', 'delay-vblvod.com', '199.27.134.37']
['CloudFlare DNS: 162.158.0.0/15', '51791', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '51792', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '51793', 'chan.sankakucomplex.com', '162.159.242.235']
['CloudFlare DNS: 162.158.0.0/15', '51796', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 108.162.192.0/18', '51832', 'govnodrom.com', '108.162.196.19']
['CloudFlare DNS: 141.101.64.0/18', '51841', 'swimpool.biz', '141.101.116.94']
['CloudFlare DNS: 108.162.192.0/18', '51918', 'govnodrom.com', '108.162.196.19']
['CloudFlare DNS: 141.101.64.0/18', '51960', 'swimpool.biz', '141.101.116.94']
['CloudFlare DNS: 141.101.64.0/18', '51968', 'best-powder.com', '141.101.117.120']
['CloudFlare DNS: 108.162.192.0/18', '51998', 'party-shop.cc', '108.162.196.221']
['CloudFlare DNS: 199.27.128.0/21', '52096', 'xumuk.biz', '199.27.134.15']
['CloudFlare DNS: 141.101.64.0/18', '52239', 'jwh-omsk.biz', '141.101.116.202']
['CloudFlare DNS: 199.27.128.0/21', '52288', 'xumuk.biz', '199.27.134.15']
['CloudFlare DNS: 162.158.0.0/15', '52342', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '52343', 'chan.sankakucomplex.com', '162.159.241.235']
['CloudFlare DNS: 162.158.0.0/15', '52344', 'cs.sankakucomplex.com', '162.159.242.235']
['CloudFlare DNS: 162.158.0.0/15', '52399', 'cs.sankakucomplex.com', '162.159.242.235']
